Seq2Seq Training Begins
epoch:0, Train Loss:8.879e-01, Val Loss:7.307e-01, elapsed time: 4s
epoch:100, Train Loss:2.180e-03, Val Loss:4.909e-03, elapsed time: 14s
epoch:200, Train Loss:8.558e-04, Val Loss:2.164e-03, elapsed time: 22s
epoch:300, Train Loss:2.286e-04, Val Loss:1.229e-03, elapsed time: 30s
epoch:400, Train Loss:1.070e-04, Val Loss:8.252e-04, elapsed time: 39s
epoch:500, Train Loss:6.212e-05, Val Loss:5.792e-04, elapsed time: 47s
epoch:600, Train Loss:3.933e-05, Val Loss:4.271e-04, elapsed time: 55s
epoch:700, Train Loss:2.758e-05, Val Loss:3.360e-04, elapsed time: 63s
epoch:800, Train Loss:1.993e-05, Val Loss:2.739e-04, elapsed time: 71s
epoch:900, Train Loss:1.539e-05, Val Loss:2.253e-04, elapsed time: 79s
epoch:1000, Train Loss:1.173e-05, Val Loss:1.858e-04, elapsed time: 88s
epoch:1100, Train Loss:9.932e-06, Val Loss:1.576e-04, elapsed time: 96s
epoch:1200, Train Loss:7.720e-06, Val Loss:1.357e-04, elapsed time: 104s
epoch:1300, Train Loss:7.112e-06, Val Loss:1.184e-04, elapsed time: 112s
epoch:1400, Train Loss:5.371e-06, Val Loss:1.049e-04, elapsed time: 120s
epoch:1500, Train Loss:4.788e-06, Val Loss:9.448e-05, elapsed time: 128s
epoch:1600, Train Loss:4.198e-06, Val Loss:8.650e-05, elapsed time: 137s
epoch:1700, Train Loss:3.888e-06, Val Loss:7.921e-05, elapsed time: 145s
epoch:1800, Train Loss:3.749e-06, Val Loss:7.353e-05, elapsed time: 153s
epoch:1900, Train Loss:3.144e-06, Val Loss:6.852e-05, elapsed time: 163s
epoch:2000, Train Loss:2.924e-06, Val Loss:6.412e-05, elapsed time: 171s
epoch:2100, Train Loss:3.713e-06, Val Loss:6.040e-05, elapsed time: 179s
epoch:2200, Train Loss:2.280e-06, Val Loss:5.768e-05, elapsed time: 187s
epoch:2300, Train Loss:2.924e-06, Val Loss:5.398e-05, elapsed time: 195s
epoch:2400, Train Loss:3.158e-06, Val Loss:5.203e-05, elapsed time: 203s
epoch:2500, Train Loss:1.754e-06, Val Loss:4.917e-05, elapsed time: 211s
epoch:2600, Train Loss:1.980e-06, Val Loss:4.718e-05, elapsed time: 220s
epoch:2700, Train Loss:2.468e-06, Val Loss:4.494e-05, elapsed time: 228s
epoch:2800, Train Loss:2.203e-06, Val Loss:4.298e-05, elapsed time: 236s
epoch:2900, Train Loss:1.745e-06, Val Loss:4.139e-05, elapsed time: 244s
epoch:3000, Train Loss:2.117e-06, Val Loss:4.058e-05, elapsed time: 252s
epoch:3100, Train Loss:1.583e-06, Val Loss:3.918e-05, elapsed time: 260s
epoch:3200, Train Loss:1.597e-06, Val Loss:3.776e-05, elapsed time: 269s
epoch:3300, Train Loss:3.125e-06, Val Loss:3.728e-05, elapsed time: 277s
epoch:3400, Train Loss:1.230e-06, Val Loss:3.526e-05, elapsed time: 285s
epoch:3500, Train Loss:1.386e-06, Val Loss:3.461e-05, elapsed time: 293s
