don_200
------

X_func_train:  (1500, 200) 
X_loc_train:  (400, 1) 
y_train:  (1500, 400)
X_func_test:  (50, 200) 
X_loc_test:  (400, 1) 
y_test:  (50, 400)
DeepONet Training Begins
epoch:0, Train Loss:9.170e-01, Val Loss:7.445e-01, elapsed time: 1s
epoch:1000, Train Loss:1.255e-01, Val Loss:1.446e-01, elapsed time: 21s
epoch:2000, Train Loss:1.110e-01, Val Loss:1.239e-01, elapsed time: 42s
epoch:3000, Train Loss:1.109e-01, Val Loss:1.186e-01, elapsed time: 62s
epoch:4000, Train Loss:1.024e-01, Val Loss:1.103e-01, elapsed time: 82s
epoch:5000, Train Loss:8.937e-02, Val Loss:9.812e-02, elapsed time: 104s
epoch:6000, Train Loss:7.388e-02, Val Loss:7.998e-02, elapsed time: 124s
epoch:7000, Train Loss:6.631e-02, Val Loss:7.194e-02, elapsed time: 144s
epoch:8000, Train Loss:4.542e-02, Val Loss:5.057e-02, elapsed time: 166s
epoch:9000, Train Loss:3.739e-02, Val Loss:4.190e-02, elapsed time: 185s
epoch:10000, Train Loss:4.213e-02, Val Loss:6.173e-02, elapsed time: 204s
epoch:11000, Train Loss:2.723e-02, Val Loss:3.180e-02, elapsed time: 224s
epoch:12000, Train Loss:2.454e-02, Val Loss:2.847e-02, elapsed time: 243s
epoch:13000, Train Loss:9.292e-02, Val Loss:1.291e-01, elapsed time: 263s
epoch:14000, Train Loss:2.076e-02, Val Loss:3.861e-02, elapsed time: 284s
epoch:15000, Train Loss:1.879e-02, Val Loss:2.289e-02, elapsed time: 304s
epoch:16000, Train Loss:2.287e-02, Val Loss:6.471e-02, elapsed time: 323s
epoch:17000, Train Loss:2.307e-02, Val Loss:2.739e-02, elapsed time: 345s
epoch:18000, Train Loss:1.509e-02, Val Loss:1.935e-02, elapsed time: 364s
epoch:19000, Train Loss:1.231e-02, Val Loss:1.564e-02, elapsed time: 384s
epoch:20000, Train Loss:1.858e-02, Val Loss:2.463e-02, elapsed time: 406s
epoch:21000, Train Loss:2.669e-02, Val Loss:9.655e-02, elapsed time: 426s
epoch:22000, Train Loss:1.539e-02, Val Loss:1.201e-02, elapsed time: 445s
epoch:23000, Train Loss:3.652e-02, Val Loss:4.662e-02, elapsed time: 467s
epoch:24000, Train Loss:1.425e-02, Val Loss:1.800e-02, elapsed time: 486s
epoch:25000, Train Loss:1.870e-02, Val Loss:3.286e-02, elapsed time: 506s
epoch:26000, Train Loss:8.495e-03, Val Loss:1.051e-02, elapsed time: 526s
epoch:27000, Train Loss:9.862e-03, Val Loss:1.188e-02, elapsed time: 545s
epoch:28000, Train Loss:7.527e-03, Val Loss:9.551e-03, elapsed time: 564s
epoch:29000, Train Loss:8.143e-03, Val Loss:9.963e-03, elapsed time: 585s
epoch:30000, Train Loss:7.064e-03, Val Loss:8.625e-03, elapsed time: 605s
epoch:31000, Train Loss:7.948e-03, Val Loss:9.774e-03, elapsed time: 627s
epoch:32000, Train Loss:7.261e-03, Val Loss:8.970e-03, elapsed time: 650s
epoch:33000, Train Loss:1.480e-02, Val Loss:2.013e-02, elapsed time: 670s
epoch:34000, Train Loss:4.256e-02, Val Loss:5.966e-02, elapsed time: 690s
epoch:35000, Train Loss:2.394e-02, Val Loss:1.460e-02, elapsed time: 713s
epoch:36000, Train Loss:6.406e-03, Val Loss:7.741e-03, elapsed time: 732s
epoch:37000, Train Loss:1.102e-02, Val Loss:8.234e-03, elapsed time: 753s
epoch:38000, Train Loss:5.860e-03, Val Loss:7.133e-03, elapsed time: 774s
epoch:39000, Train Loss:5.737e-03, Val Loss:6.963e-03, elapsed time: 793s
epoch:40000, Train Loss:5.447e-03, Val Loss:6.676e-03, elapsed time: 814s
epoch:41000, Train Loss:7.779e-03, Val Loss:8.555e-03, elapsed time: 834s
epoch:42000, Train Loss:6.031e-03, Val Loss:7.692e-03, elapsed time: 854s
epoch:43000, Train Loss:4.688e-03, Val Loss:5.879e-03, elapsed time: 874s
epoch:44000, Train Loss:4.862e-03, Val Loss:5.979e-03, elapsed time: 895s
epoch:45000, Train Loss:1.076e-02, Val Loss:1.342e-02, elapsed time: 915s
epoch:46000, Train Loss:4.627e-03, Val Loss:7.348e-03, elapsed time: 934s
