
don_80
------

X_func_train:  (1500, 80) 
X_loc_train:  (500, 1) 
y_train:  (1500, 500)
X_func_test:  (50, 80) 
X_loc_test:  (500, 1) 
y_test:  (50, 500)
DeepONet Training Begins
epoch:0, Train Loss:9.958e-01, Val Loss:8.046e-01, elapsed time: 2s
epoch:1000, Train Loss:1.604e-02, Val Loss:3.106e-02, elapsed time: 15s
epoch:2000, Train Loss:8.216e-03, Val Loss:1.739e-02, elapsed time: 27s
epoch:3000, Train Loss:4.875e-03, Val Loss:1.128e-02, elapsed time: 40s
epoch:4000, Train Loss:2.882e-03, Val Loss:8.579e-03, elapsed time: 52s
epoch:5000, Train Loss:6.137e-03, Val Loss:1.519e-02, elapsed time: 65s
epoch:6000, Train Loss:2.773e-03, Val Loss:6.674e-03, elapsed time: 77s
epoch:7000, Train Loss:1.498e-03, Val Loss:4.976e-03, elapsed time: 90s
epoch:8000, Train Loss:2.721e-03, Val Loss:4.832e-03, elapsed time: 102s
epoch:9000, Train Loss:1.728e-03, Val Loss:4.765e-03, elapsed time: 115s
epoch:10000, Train Loss:1.010e-03, Val Loss:3.124e-03, elapsed time: 127s
epoch:11000, Train Loss:1.085e-03, Val Loss:3.167e-03, elapsed time: 139s
epoch:12000, Train Loss:9.212e-04, Val Loss:2.839e-03, elapsed time: 152s
epoch:13000, Train Loss:3.300e-03, Val Loss:5.489e-03, elapsed time: 164s
epoch:14000, Train Loss:7.783e-04, Val Loss:2.196e-03, elapsed time: 177s
epoch:15000, Train Loss:1.417e-03, Val Loss:2.732e-03, elapsed time: 189s
epoch:16000, Train Loss:6.950e-04, Val Loss:1.665e-03, elapsed time: 202s
epoch:17000, Train Loss:8.938e-04, Val Loss:1.840e-03, elapsed time: 214s
epoch:18000, Train Loss:6.818e-04, Val Loss:1.531e-03, elapsed time: 226s
epoch:19000, Train Loss:6.209e-04, Val Loss:1.469e-03, elapsed time: 239s
epoch:20000, Train Loss:7.906e-04, Val Loss:1.653e-03, elapsed time: 251s
epoch:21000, Train Loss:1.896e-03, Val Loss:2.174e-03, elapsed time: 264s
epoch:22000, Train Loss:6.198e-04, Val Loss:1.413e-03, elapsed time: 276s
epoch:23000, Train Loss:7.922e-04, Val Loss:1.518e-03, elapsed time: 288s
epoch:24000, Train Loss:6.006e-04, Val Loss:1.436e-03, elapsed time: 301s
epoch:25000, Train Loss:6.671e-04, Val Loss:1.408e-03, elapsed time: 313s
epoch:26000, Train Loss:6.630e-04, Val Loss:1.468e-03, elapsed time: 326s
epoch:27000, Train Loss:8.457e-04, Val Loss:1.475e-03, elapsed time: 338s
epoch:28000, Train Loss:1.022e-03, Val Loss:1.675e-03, elapsed time: 351s
epoch:29000, Train Loss:6.277e-04, Val Loss:1.286e-03, elapsed time: 363s
epoch:30000, Train Loss:4.869e-04, Val Loss:1.159e-03, elapsed time: 376s
epoch:31000, Train Loss:7.372e-04, Val Loss:1.446e-03, elapsed time: 388s
epoch:32000, Train Loss:5.265e-04, Val Loss:1.166e-03, elapsed time: 400s
epoch:33000, Train Loss:4.481e-04, Val Loss:1.023e-03, elapsed time: 413s
epoch:34000, Train Loss:6.729e-04, Val Loss:1.085e-03, elapsed time: 425s
epoch:35000, Train Loss:4.188e-04, Val Loss:9.521e-04, elapsed time: 438s
epoch:36000, Train Loss:4.473e-04, Val Loss:9.402e-04, elapsed time: 450s
epoch:37000, Train Loss:4.276e-04, Val Loss:8.412e-04, elapsed time: 462s
epoch:38000, Train Loss:4.891e-04, Val Loss:9.709e-04, elapsed time: 475s
epoch:39000, Train Loss:4.538e-04, Val Loss:9.385e-04, elapsed time: 487s
epoch:40000, Train Loss:4.118e-04, Val Loss:8.765e-04, elapsed time: 500s
epoch:41000, Train Loss:3.405e-04, Val Loss:7.455e-04, elapsed time: 512s
epoch:42000, Train Loss:4.011e-04, Val Loss:8.343e-04, elapsed time: 525s
epoch:43000, Train Loss:4.485e-04, Val Loss:7.870e-04, elapsed time: 537s
epoch:44000, Train Loss:5.311e-04, Val Loss:8.876e-04, elapsed time: 549s
epoch:45000, Train Loss:9.607e-04, Val Loss:1.200e-03, elapsed time: 562s
epoch:46000, Train Loss:4.034e-04, Val Loss:8.064e-04, elapsed time: 574s
epoch:47000, Train Loss:2.962e-04, Val Loss:6.850e-04, elapsed time: 587s
epoch:48000, Train Loss:3.511e-04, Val Loss:7.156e-04, elapsed time: 599s
epoch:49000, Train Loss:3.427e-04, Val Loss:6.998e-04, elapsed time: 611s
epoch:50000, Train Loss:5.675e-04, Val Loss:1.017e-03, elapsed time: 624s
epoch:51000, Train Loss:3.256e-04, Val Loss:6.945e-04, elapsed time: 636s
epoch:52000, Train Loss:3.949e-04, Val Loss:8.156e-04, elapsed time: 649s
epoch:53000, Train Loss:2.872e-04, Val Loss:6.443e-04, elapsed time: 661s
epoch:54000, Train Loss:2.791e-04, Val Loss:6.432e-04, elapsed time: 674s
epoch:55000, Train Loss:2.941e-04, Val Loss:6.918e-04, elapsed time: 686s
epoch:56000, Train Loss:2.064e-03, Val Loss:2.283e-03, elapsed time: 698s
epoch:57000, Train Loss:4.425e-04, Val Loss:9.138e-04, elapsed time: 711s
epoch:58000, Train Loss:3.312e-04, Val Loss:6.657e-04, elapsed time: 723s
epoch:59000, Train Loss:2.500e-04, Val Loss:6.150e-04, elapsed time: 736s
epoch:60000, Train Loss:2.608e-04, Val Loss:6.198e-04, elapsed time: 748s
epoch:61000, Train Loss:1.147e-03, Val Loss:1.554e-03, elapsed time: 761s
epoch:62000, Train Loss:3.937e-04, Val Loss:6.980e-04, elapsed time: 773s
epoch:63000, Train Loss:2.995e-04, Val Loss:6.248e-04, elapsed time: 785s
epoch:64000, Train Loss:2.781e-04, Val Loss:6.101e-04, elapsed time: 798s
epoch:65000, Train Loss:3.312e-04, Val Loss:6.253e-04, elapsed time: 810s
epoch:66000, Train Loss:5.042e-04, Val Loss:1.047e-03, elapsed time: 823s
epoch:67000, Train Loss:2.934e-04, Val Loss:6.640e-04, elapsed time: 835s
epoch:68000, Train Loss:3.038e-04, Val Loss:6.151e-04, elapsed time: 848s
epoch:69000, Train Loss:2.420e-04, Val Loss:6.020e-04, elapsed time: 860s
epoch:70000, Train Loss:3.421e-04, Val Loss:7.135e-04, elapsed time: 872s
epoch:71000, Train Loss:4.141e-04, Val Loss:8.235e-04, elapsed time: 885s
epoch:72000, Train Loss:2.343e-04, Val Loss:5.640e-04, elapsed time: 897s
epoch:73000, Train Loss:1.166e-03, Val Loss:1.311e-03, elapsed time: 910s
epoch:74000, Train Loss:4.788e-04, Val Loss:8.405e-04, elapsed time: 922s
epoch:75000, Train Loss:4.103e-04, Val Loss:7.452e-04, elapsed time: 934s
epoch:76000, Train Loss:2.500e-04, Val Loss:5.762e-04, elapsed time: 947s
epoch:77000, Train Loss:5.732e-04, Val Loss:7.409e-04, elapsed time: 959s
epoch:78000, Train Loss:2.525e-04, Val Loss:5.912e-04, elapsed time: 972s
epoch:79000, Train Loss:2.089e-04, Val Loss:5.460e-04, elapsed time: 984s
epoch:80000, Train Loss:5.759e-04, Val Loss:8.736e-04, elapsed time: 997s
epoch:81000, Train Loss:1.588e-04, Val Loss:5.003e-04, elapsed time: 1009s
epoch:82000, Train Loss:1.690e-04, Val Loss:5.012e-04, elapsed time: 1021s
epoch:83000, Train Loss:2.041e-04, Val Loss:5.589e-04, elapsed time: 1034s
epoch:84000, Train Loss:2.973e-04, Val Loss:6.617e-04, elapsed time: 1046s
epoch:85000, Train Loss:1.520e-04, Val Loss:4.671e-04, elapsed time: 1059s
epoch:86000, Train Loss:2.131e-04, Val Loss:5.518e-04, elapsed time: 1071s
